trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-97.78428157908739,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-60.87037771786356,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-3.2935975871210115,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-25.84508565899086,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,22.634905980146883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",30,0,2.396099045757266,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,0,34.462731666423025,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.96}",25,0,25.171593495475538,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,25.727894125309927,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,25.202390401542964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,30.800885499989214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,32.28262870830594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,29.775635765122242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,30.572819440298897,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",35,0,36.73381626545505,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,41.01984488832715,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,0,39.99570263570297,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,22.259511825437617,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",30,15,25.62367329677269,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,18,32.61932526854135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,19,21.295756311506956,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,8,22.433389611405598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,3,27.12542715184424,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,26.55704461404795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",35,0,56.05308906459723,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,14,21.606563652801118,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,32.05808584293232,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,2,24.605274801563493,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",30,16,27.58946493359963,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,24.920002536260956,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,36.47608431716324,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,23.822538763099793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,17,15.211860735560323,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,15,8.169621173490155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,10,21.33640726077417,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,28.786993578017796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,30.86000462208691,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,7,31.245062390938795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",35,18,25.29221708688604,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,16,16.38195044303789,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,14,11.447132508507881,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,28.26242599451875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,13,24.830457379169374,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,15,6.632027597642385,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",20,8,15.964604295868888,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,13,22.089549600585844,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,24.42799827299265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,9,19.105314463980836,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,12,7.983730220895085,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,18,12.697589429470552,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,6,28.719049385723142,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,41.17487690959337,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,24.252690785475238,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,10,12.429528386748844,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,7,18.293131267855806,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,9,29.250532591752194,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",30,11,28.52141157967441,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,13,31.31394626754208,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,39.965815035577826,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,3,30.094925301396586,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,5,29.675547113844086,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",25,10,24.90334560161982,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,10,15.54006092550955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,5,11.477712910549538,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,3,36.78002106539788,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,28.896039232576026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",25,15,16.67207644358347,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,14,10.729807647022715,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,14,11.847368732200996,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,15,16.30465070017756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,10,16.070602636062397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,1,24.829459559335437,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,12,10.430261085753447,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",30,13,25.24773054001302,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",30,20,17.4555116656987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,6,30.017008235089705,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,14,23.298125521419202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,31.184692347234815,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",25,7,21.640950349416585,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,19,12.336985146792406,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,13,13.929614385820175,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",35,1,46.28737206443789,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,4,24.142572045426284,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,14,12.015504626124635,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,8,28.522819130746516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,20,20.930535069858017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,22.13746828187377,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,13,25.582445530759546,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,17,18.09973305709888,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,16,16.232543037365147,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",30,20,16.35461379284503,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,16,16.40212779522541,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,8,30.393308781549297,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,15,20.271157780722856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,1,27.994273801743578,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,15,22.356329097959527,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,16,8.833869472034449,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,4,26.607189893036598,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",30,12,29.296397876530516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,3,27.3967691003249,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,9,20.239724940454714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,22,12.106888091719366,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,2,23.450955842415272,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,16,18.338861226552655,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",25,0,40.89242298296121,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
